"","Dataset","Method","Metric","Testing_Proportion","Mean","SD"
"105","EYT_3","Transfer","COR",0.8,0.533540594184706,0.0402087934569977
"106","EYT_3","Transfer","NRMSE",0.15,0.044625857143731,0.00251354456401035
"107","EYT_3","Transfer","NRMSE",0.3,0.0453882628826968,0.00240671939667924
"108","EYT_3","Transfer","NRMSE",0.5,0.0456629742480856,0.0021411458010089
"109","EYT_3","Transfer","NRMSE",0.75,0.0459719168259718,0.00198169347729565
"110","EYT_3","Transfer","NRMSE",0.8,0.0463325010345017,0.00192893387864878
"111","EYT_3","Transfer","PM_10",0.15,35.1339285714286,10.4160899951559
"112","EYT_3","Transfer","PM_10",0.3,34.754886381694,9.50044395319406
"113","EYT_3","Transfer","PM_10",0.5,34.5761494252874,8.15758208866885
"114","EYT_3","Transfer","PM_10",0.75,34.2062636836344,7.30423583638033
"115","EYT_3","Transfer","PM_10",0.8,33.7752758496293,6.78770937957927
"116","EYT_3","Transfer","PM_20",0.15,46.7241379310345,6.42522315225099
"117","EYT_3","Transfer","PM_20",0.3,46.4182424916574,6.07941218421289
"118","EYT_3","Transfer","PM_20",0.5,46.2714358546533,5.38992730979156
"119","EYT_3","Transfer","PM_20",0.75,45.9416423340749,4.86211529176434
"120","EYT_3","Transfer","PM_20",0.8,45.5101807895016,4.56965437027536
"121","Groundnut","GBLUP","COR",0.15,0.341569522767256,0.10509936709316
"122","Groundnut","GBLUP","COR",0.3,0.347964418381093,0.0947723580429045
"123","Groundnut","GBLUP","COR",0.5,0.357184575941932,0.0830584941239914
"124","Groundnut","GBLUP","COR",0.75,0.356625867227662,0.0742954679815986
"125","Groundnut","GBLUP","COR",0.8,0.352527355214107,0.0689021874647616
"126","Groundnut","GBLUP","NRMSE",0.15,0.363263305441925,0.0350964952630178
"127","Groundnut","GBLUP","NRMSE",0.3,0.362333446389507,0.0328548457683745
"128","Groundnut","GBLUP","NRMSE",0.5,0.360747378269575,0.0285656587496872
"129","Groundnut","GBLUP","NRMSE",0.75,0.3625810885094,0.0255587479208496
"130","Groundnut","GBLUP","NRMSE",0.8,0.364923568832698,0.0233640044653915
"131","Groundnut","GBLUP","PM_10",0.15,16.4583333333333,15.3505661578718
"132","Groundnut","GBLUP","PM_10",0.3,18.2548309178744,14.6103929114678
"133","Groundnut","GBLUP","PM_10",0.5,20.5660225442834,13.2763171777892
"134","Groundnut","GBLUP","PM_10",0.75,21.4798624238605,11.9909553120096
"135","Groundnut","GBLUP","PM_10",0.8,22.0189582020584,11.0540862019984
"136","Groundnut","GBLUP","PM_20",0.15,34.2592592592593,11.7633684611042
"137","Groundnut","GBLUP","PM_20",0.3,35.5034324942792,10.9553315627505
"138","Groundnut","GBLUP","PM_20",0.5,36.9431389756923,9.70879207623757
"139","Groundnut","GBLUP","PM_20",0.75,37.4216150141966,8.74085821112191
"140","Groundnut","GBLUP","PM_20",0.8,37.7544911627219,7.96662926941264
"141","Groundnut","Transfer","COR",0.15,0.385688253036898,0.107296659005247
"142","Groundnut","Transfer","COR",0.3,0.390966086055027,0.0956411177518621
"143","Groundnut","Transfer","COR",0.5,0.397417446986695,0.0823869144490383
"144","Groundnut","Transfer","COR",0.75,0.397222588143754,0.0731178603069699
"145","Groundnut","Transfer","COR",0.8,0.394539224590588,0.0680429073108319
"146","Groundnut","Transfer","NRMSE",0.15,0.354709889157854,0.0344727534783184
"147","Groundnut","Transfer","NRMSE",0.3,0.3539733414517,0.0319989563059501
"148","Groundnut","Transfer","NRMSE",0.5,0.35275735682824,0.0274954414083686
"149","Groundnut","Transfer","NRMSE",0.75,0.354210988263707,0.02453129172882
"150","Groundnut","Transfer","NRMSE",0.8,0.356153420183992,0.0224341406561479
"151","Groundnut","Transfer","PM_10",0.15,21.875,19.1381334085756
"152","Groundnut","Transfer","PM_10",0.3,23.3997584541063,17.6229177203162
"153","Groundnut","Transfer","PM_10",0.5,25.3329307568438,15.176910419013
"154","Groundnut","Transfer","PM_10",0.75,26.226606805293,13.4845450732968
"155","Groundnut","Transfer","PM_10",0.8,26.7756406217181,12.4702235717123
"156","Groundnut","Transfer","PM_20",0.15,38.5185185185185,13.5481382041289
"157","Groundnut","Transfer","PM_20",0.3,39.0668700737351,12.1561852179548
"158","Groundnut","Transfer","PM_20",0.5,39.8459820269077,10.2718970025638
"159","Groundnut","Transfer","PM_20",0.75,40.2477386174962,9.04069340952087
"160","Groundnut","Transfer","PM_20",0.8,40.4602546805301,8.25738479355847
"161","Indica","GBLUP","COR",0.15,0.435916185499081,0.148358081654942
"162","Indica","GBLUP","COR",0.3,0.435621372367035,0.132913330899778
"163","Indica","GBLUP","COR",0.5,0.423918855899714,0.112363235776403
"164","Indica","GBLUP","COR",0.75,0.410402798712064,0.106183477238967
"165","Indica","GBLUP","COR",0.8,0.391855108061062,0.109965231558427
"166","Indica","GBLUP","NRMSE",0.15,0.179410652672705,0.0174388650527021
"167","Indica","GBLUP","NRMSE",0.3,0.193494734483761,0.0167234084284027
"168","Indica","GBLUP","NRMSE",0.5,0.195209603141793,0.0140701825221228
"169","Indica","GBLUP","NRMSE",0.75,0.196140630463324,0.0128329004272019
"170","Indica","GBLUP","NRMSE",0.8,0.198530950588781,0.0141970574168466
"171","Indica","GBLUP","PM_10",0.15,29,18.8684353277595
"172","Indica","GBLUP","PM_10",0.3,28.4848484848485,17.7609226882573
"173","Indica","GBLUP","PM_10",0.5,28.635101010101,15.466442581033
"174","Indica","GBLUP","PM_10",0.75,28.0895412457912,13.8962196046214
"175","Indica","GBLUP","PM_10",0.8,27.0369366744367,12.8911014189277
"176","Indica","GBLUP","PM_20",0.15,42.5,13.5009161562478
"177","Indica","GBLUP","PM_20",0.3,42.5143540669856,12.6148916622455
"178","Indica","GBLUP","PM_20",0.5,42.1747408293461,10.7543058845564
"179","Indica","GBLUP","PM_20",0.75,41.7668577897666,9.53168843163316
"180","Indica","GBLUP","PM_20",0.8,40.9264778924083,8.97779345445701
"181","Indica","Transfer","COR",0.15,0.52460182236882,0.125487425875198
"182","Indica","Transfer","COR",0.3,0.527499713502593,0.111404765468269
"183","Indica","Transfer","COR",0.5,0.522102104772139,0.0934665724244566
"184","Indica","Transfer","COR",0.75,0.513091167312454,0.0851662471302492
"185","Indica","Transfer","COR",0.8,0.503308513340351,0.0816772957837963
"186","Indica","Transfer","NRMSE",0.15,0.175940668916707,0.0168889309540151
"187","Indica","Transfer","NRMSE",0.3,0.189548948066009,0.0162054478256488
"188","Indica","Transfer","NRMSE",0.5,0.190887788979811,0.0140647672005969
"189","Indica","Transfer","NRMSE",0.75,0.191702461943044,0.0131873085183861
"190","Indica","Transfer","NRMSE",0.8,0.193225738556096,0.0127760069351152
"191","Indica","Transfer","PM_10",0.15,37,17.2508166129218
"192","Indica","Transfer","PM_10",0.3,35.8181818181818,15.255086757068
