"","Dataset","Testing_Proportion","Trait","COR_BayI_Ave","COR_BayNI_SD","COR_Trans_Ave","COR_Trans_SD","MSE_BayI_Ave","MSE_BayNI_SD","MSE_Trans_Ave","MSE_Trans_SD","NRMSE_BayI_Ave","NRMSE_BayI_SD","NRMSE_Trans_Ave","NRMSE_Trans_SD","PM_Conv_Ave_10","PM_Conv_SD_10","PM_Transf_Ave_10","PM_Transf_SD_10","PM_Conv_Ave_20","PM_Conv_SD_20","PM_Transf_Ave_20","PM_Transf_SD_20","PM_Conv_Ave_30","PM_Conv_SD_30","PM_Transf_Ave_30","PM_Transf_SD_30"
"14","EYT_1",0.75,"DTMT",0.44551846686829,0.0601788048757985,0.675652254709748,0.0361812253941833,25.6981878845396,2.40458330238402,17.3696639787643,1.61353708365027,0.0410848823993432,0.0019431877473394,0.0337779024385771,0.00157634501224749,21.742886531216,7.07988057276335,35.3263758870166,8.11135223526933,32.7619501652683,5.73194374784428,46.6347889651665,5.42613607074078,45.0337720848958,4.27167269145648,57.0265490049993,3.91343018638621
"15","EYT_1",0.75,"GY",0.378242108790692,0.0602372295800113,0.421744803090028,0.055420833043301,0.181486331035161,0.0184385411873367,0.17385006091442,0.0170911400801106,0.0692593201169891,0.00351948296681182,0.0677786289141474,0.00333013063894335,34.2103096179183,8.0401025544559,36.784088019786,9.29781297222305,40.519498474447,6.21075685268608,42.4893370200864,6.17771852689962,47.9982001448336,4.70402156778381,49.893690596852,4.96756342116366
"16","EYT_1",0.75,"Height",0.357615113145081,0.0642789473060748,0.489205417068873,0.0559004237885242,15.4537824034568,1.59800035805713,13.4459832402777,1.38984750612581,0.038551252258397,0.001986175345865,0.0359479471674519,0.00184905625303465,19.5142644985322,6.8239242604274,29.3490251485103,8.2154590749095,33.62288647343,5.32792390033802,40.6870232646834,5.53452969803721,44.2882442447707,5.1821484811332,51.1642657583377,4.53098425061945
"17","EYT_1",0.8,"DTHD",0.460029265848461,0.0639098686482619,0.723776903671246,0.0295754291304494,35.0184690684314,3.47822295213164,21.0179545350002,1.79378521428936,0.0722687481090956,0.00368279837547649,0.0559998520256558,0.00244052604723472,20.1752954195896,6.60074508590232,39.7663799149919,7.20617357319452,38.8492349101549,5.62299816592714,52.7947344037214,4.55230477265403,50.5090369493723,4.93008935354655,62.5063860867588,3.80794171932841
"18","EYT_1",0.8,"DTMT",0.426704334366578,0.0654359949021939,0.67094173194489,0.034048126079581,26.2916636983798,2.48262485901713,17.6013340213808,1.53721912712527,0.0415529817328339,0.00198929330450559,0.0340038654197189,0.0014973339684017,21.300057066141,6.62125356004614,34.8803964164282,7.38236811599804,32.1678939865701,5.50179863800106,46.4808527466206,4.9408626800782,44.2332506767601,4.29403377721314,56.9615096536106,3.59672931349343
"19","EYT_1",0.8,"GY",0.36170048630714,0.0632269217127914,0.410956596985267,0.0547710387874831,0.18434378255859,0.017529861934688,0.175717891143774,0.0158277264719916,0.0698213713986168,0.00334972306455631,0.0681600856297792,0.00308709745269586,33.0034073431165,7.83405374585578,36.0398405785734,8.84266262431182,39.5332984769479,5.99649921007546,41.9496672231184,5.74665254828595,47.4079084195551,4.44335693562096,49.4877195091491,4.58344802960197
"20","EYT_1",0.8,"Height",0.33431296933143,0.0744976568586509,0.477380076092986,0.0563243953247511,15.7551637467677,1.57835391622725,13.6479798766409,1.32529373879591,0.0389267495191034,0.00195551295112175,0.0362210726997291,0.00176140504724993,18.750644125541,6.43419322783537,28.6246117910924,7.64339411712251,32.5555862437634,5.31447408771027,40.1238291068012,5.20229396066973,43.3499352019439,5.17432676966782,50.6171204514897,4.3812173544336
"21","EYT_2",0.15,"DTHD",0.471354644349693,0.0646597905009625,0.752307405586891,0.0368632168561999,10.2626601166958,1.30045741002329,5.70106777263343,0.703934960009143,0.0412588217819094,0.0026402261834824,0.0307567266264746,0.00193272318137772,32.5,11.421564040577,46.1363636363637,10.9299209873308,40.6521739130435,7.14659086653946,58.9130434782609,6.63279119179571,50.2142857142857,5.89373380777292,66.5714285714286,5.97564965492503
"22","EYT_2",0.15,"DTMT",0.461091141329301,0.0682344976730179,0.650717627583503,0.0516489502852349,8.71547631545912,1.30085903828154,6.32915687127451,0.887564056297847,0.0261869961384307,0.00197740251541038,0.0223204861972364,0.00157422175939739,42.0454545454545,11.4222251003991,46.3636363636363,9.09107234916639,48.9130434782609,6.62116943555965,54.4565217391304,8.25227290693492,54.2857142857143,6.81003390272196,60.6428571428572,6.70442269927793
"23","EYT_2",0.15,"GY",0.480004940852097,0.0676940887249874,0.513041008769792,0.0637244452960572,0.0994992867264606,0.0142177596674131,0.0951849601572987,0.014175322507202,0.0739515735353811,0.00541538613075065,0.0722788160143928,0.00559559491294162,16.5909090909091,9.92785498284496,18.6363636363636,9.78433673219929,35.8695652173913,6.63842663589998,37.6086956521739,7.55738542988443,50.9285714285714,5.36164206645183,51.2142857142857,5.43486293638584
"24","EYT_2",0.15,"Height",0.300597481623849,0.0834447723897146,0.416652491535375,0.0710155993151598,25.9284840066569,3.27263322272746,23.4762198253855,2.74492544607124,0.0545835263850183,0.00338710299242267,0.0519625043261764,0.00298209055047356,16.8181818181818,10.2808823581112,21.3636363636364,10.9285782047049,33.9130434782609,8.61277598589045,39.1304347826087,8.01420318442621,44.9285714285714,7.32946521101454,48.2142857142857,6.54397590417144
"25","EYT_2",0.3,"DTHD",0.468450513159685,0.0618279624680236,0.747577016799978,0.0353228344310994,10.2712333194188,1.30373122328903,5.76885551811918,0.677401859867496,0.0412696332173412,0.00263372384838022,0.0309318282495791,0.00184280850103852,33.3370976849238,10.6675997463072,47.5127046866177,10.5762767948789,40.8850931677019,6.87332963818837,57.9347826086956,5.90660695974811,50.0570837030464,5.54495682496424,65.7929606625259,5.45470542697892
