"","Dataset","Testing_Proportion","COR_BayI_Ave","COR_BayNI_SD","COR_Trans_Ave","COR_Trans_SD","MSE_BayI_Ave","MSE_BayNI_SD","MSE_Trans_Ave","MSE_Trans_SD","NRMSE_BayI_Ave","NRMSE_BayI_SD","NRMSE_Trans_Ave","NRMSE_Trans_SD","PM_Conv_Ave_10","PM_Conv_SD_10","PM_Transf_Ave_10","PM_Transf_SD_10","PM_Conv_Ave_20","PM_Conv_SD_20","PM_Transf_Ave_20","PM_Transf_SD_20","PM_Conv_Ave_30","PM_Conv_SD_30","PM_Transf_Ave_30","PM_Transf_SD_30"
"11","EYT_3",0.15,0.449213583834668,0.059592612796245,0.561997070994504,0.048847419810919,8.88819367230131,1.01667328868717,7.70648533646906,0.827063024211476,0.047648257595286,0.00272830940645954,0.044625857143731,0.00251354456401035,28.75,9.5000826227236,35.1339285714286,10.4160899951559,40.7974137931035,6.69737546360727,46.7241379310345,6.42522315225099,50.406976744186,5.19177078413159,55.4651162790698,5.12582355867205
"12","EYT_3",0.3,0.443037309973586,0.0550434401121736,0.556484261332179,0.0452001115739334,9.07822097364538,0.95602634017168,7.89721232342994,0.795434416766885,0.0484051988162396,0.00259306767818045,0.0453882628826968,0.00240671939667924,28.7454314317496,8.7750072689786,34.754886381694,9.50044395319406,40.6757508342603,6.27917708766823,46.4182424916574,6.07941218421289,50.2820532719387,4.97622268630952,55.3837597330367,4.75906663186639
"13","EYT_3",0.5,0.431404918376892,0.0500316892732929,0.551572264630837,0.0394953029370591,9.25861440894584,0.846886138993498,8.02369852506574,0.711159962649359,0.0487907309794753,0.00231194992900635,0.0456629742480856,0.0021411458010089,28.4576557727281,7.69519865131277,34.5761494252874,8.15758208866885,40.3396520825609,5.57560703621881,46.2714358546533,5.38992730979156,49.7668664052986,4.48095116053005,55.3170428622481,4.19706404742828
"14","EYT_3",0.75,0.412701549898545,0.0556256286298812,0.543119506442282,0.0384703902220769,9.43860119374503,0.819835598692522,8.12986512995264,0.662838582870773,0.0492348169642279,0.00220669839966122,0.0459719168259718,0.00198169347729565,27.6295641541748,7.0821888266573,34.2062636836344,7.30423583638033,39.5781192065258,5.24552915517391,45.9416423340749,4.86211529176434,48.9203001480734,4.36574827842147,54.9654304739978,3.82863175966344
"15","EYT_3",0.8,0.391308957537927,0.0657657963362964,0.533540594184706,0.0402087934569977,9.65518445227262,0.849849456274009,8.26582889741925,0.658437054597655,0.0497489868111221,0.00222777741609301,0.0463325010345017,0.00192893387864878,26.6654269133413,6.84050295251312,33.7752758496293,6.78770937957927,38.6061156816858,5.2423268234914,45.5101807895016,4.56965437027536,47.8997419813386,4.50666279549779,54.5231142952368,3.63442410497982
"16","Groundnut",0.15,0.341569522767256,0.10509936709316,0.385688253036898,0.107296659005247,89734.0668201949,15127.263742608,82409.1016623362,14980.0825219534,0.363263305441925,0.0350964952630178,0.354709889157854,0.0344727534783184,16.4583333333333,15.3505661578718,21.875,19.1381334085756,34.2592592592593,11.7633684611042,38.5185185185185,13.5481382041289,47.2023809523809,10.2899541490469,49.4047619047619,10.5337559737891
"17","Groundnut",0.3,0.347964418381093,0.0947723580429045,0.390966086055027,0.0956411177518621,91859.6264556594,14900.3193224728,84529.6488174318,14686.9082476164,0.362333446389507,0.0328548457683745,0.3539733414517,0.0319989563059501,18.2548309178744,14.6103929114678,23.3997584541063,17.6229177203162,35.5034324942792,10.9553315627505,39.0668700737351,12.1561852179548,47.7173913043478,9.3959490866015,49.611801242236,9.56525209808157
"18","Groundnut",0.5,0.357184575941932,0.0830584941239914,0.397417446986695,0.0823869144490383,90496.5040527834,13166.544658944,83241.2339926604,12791.0295092847,0.360747378269575,0.0285656587496872,0.35275735682824,0.0274954414083686,20.5660225442834,13.2763171777892,25.3329307568438,15.176910419013,36.9431389756923,9.70879207623757,39.8459820269077,10.2718970025638,48.3676379895159,8.12777330077198,49.8590370468261,8.19420788279324
"19","Groundnut",0.75,0.356625867227662,0.0742954679815986,0.397222588143754,0.0731178603069699,91576.0839560585,11798.9139276748,83852.9256898403,11355.0510359941,0.3625810885094,0.0255587479208496,0.354210988263707,0.02453129172882,21.4798624238605,11.9909553120096,26.226606805293,13.4845450732968,37.4216150141966,8.74085821112191,40.2477386174962,9.04069340952087,48.6870754282091,7.20321594230096,49.9681538196183,7.19067247662485
"20","Groundnut",0.8,0.352527355214107,0.0689021874647616,0.394539224590588,0.0680429073108319,92923.8520550801,11002.3116725539,84704.275984805,10514.1772249224,0.364923568832698,0.0233640044653915,0.356153420183992,0.0224341406561479,22.0189582020584,11.0540862019984,26.7756406217181,12.4702235717123,37.7544911627219,7.96662926941264,40.4602546805301,8.25738479355847,48.5970827276331,6.57930735292488,49.9253133093316,6.5187816968886
