"","Dataset","Testing_Proportion","Trait","Env_Proxy","Env_goal","COR_BayI_Ave","COR_BayNI_SD","COR_Trans_Ave","COR_Trans_SD","MSE_BayI_Ave","MSE_BayNI_SD","MSE_Trans_Ave","MSE_Trans_SD","NRMSE_BayI_Ave","NRMSE_BayI_SD","NRMSE_Trans_Ave","NRMSE_Trans_SD","PM_Conv_Ave_10","PM_Conv_SD_10","PM_Transf_Ave_10","PM_Transf_SD_10","PM_Conv_Ave_20","PM_Conv_SD_20","PM_Transf_Ave_20","PM_Transf_SD_20","PM_Conv_Ave_30","PM_Conv_SD_30","PM_Transf_Ave_30","PM_Transf_SD_30"
"11","Indica",0.3,"PHR",2011,2010,0.460151795864515,0.136996217394671,0.520012681814369,0.133803979028584,4.53626326574208,1.65714187072582,4.07429307021532,1.36601078286782,0.0345210082406481,0.00594817751388853,0.0327643402661981,0.00531301790237501,35.7777777777778,14.8091607144236,39.2222222222222,18.4136994513699,38.7368421052632,9.31758124778544,41.2368421052632,10.8580349856601,43.2183908045977,6.63257654421174,45.0574712643678,8.0727236712209
"12","Indica",0.3,"PHR",2012,2010,0.488150115743109,0.138900494324684,0.553262861366221,0.165528827459838,4.2894669370447,0.881890600184006,3.89167827438659,0.897139188110467,0.0339070652937727,0.00350050281536947,0.0322438098408005,0.00379606196208138,34,21.1869981094276,32,19.3218356615859,46,13.4989711542111,47,14.9443411809733,47.3333333333333,9.13546879604199,50,9.55813918560292
"13","Indica",0.3,"GC",2011,2010,0.281027047528762,0.117333769967874,0.352857677970383,0.105009367597592,2.5827648944824,0.425960150671391,2.4790744853231,0.375285875830724,0.478097068685595,0.0317395309867413,0.468792390538664,0.0258727671895614,23.7777777777778,14.1852589842288,26.4444444444444,11.6901740338145,35.4210526315789,11.5248041609876,41.0526315789474,11.6442379817084,46.7471264367816,8.49553023507938,53.8620689655172,8.29469524764527
"14","Indica",0.3,"PH",2011,2010,0.551361854234338,0.127783671431363,0.69602800423165,0.0764511384276919,7.50339902752593,2.3174636596673,5.44988189654105,1.43017071000967,0.0405712658054143,0.00615611413406786,0.0346747946778471,0.00452943741890023,31,17.2806968068783,44.1111111111111,17.8255935910868,49.9736842105263,11.8975004756528,62.8157894736842,10.9516226019167,62.2298850574713,7.53935190320213,73.2528735632184,8.16020378071622
"15","Indica",0.3,"PHR",2012,2010,0.469752209582281,0.111408248752836,0.555490523953236,0.125036694660923,4.48967094141338,0.929123920121743,4.00500792491385,0.841391472331104,0.0346669003979992,0.00356107386057804,0.0327272319491178,0.00347804105591529,33.1111111111111,16.8608570074401,29.3333333333333,15.4566614139754,42.7368421052632,11.2876994647661,44.2894736842105,12.1206393974182,45.5632183908046,8.75712959665184,48.6206896551724,8.75392105966372
"16","Indica",0.3,"GC",2012,2010,0.326073874412531,0.143049026887903,0.348166332690024,0.109766216391512,2.52227510655912,0.554121776048576,2.53484177528653,0.591620002650559,0.457779358363692,0.0343557339998986,0.458661829834963,0.039926804087869,28.8888888888889,16.3776103524812,26.8888888888889,11.3746523485064,34.8421052631579,12.7665914792004,36.2105263157895,11.8817127726118,48.8045977011494,7.28569392165645,51.5287356321839,6.39223849830175
"17","Indica",0.3,"PH",2012,2010,0.505780175057362,0.0979486289486113,0.678477833237606,0.0710894616378362,8.74473197550883,1.64935776570969,6.18276676636306,1.29893557274181,0.0440615435767432,0.00422605638614375,0.0370031610774959,0.00400537167118425,22.7777777777778,18.4221664937538,50,12.2461222993656,48.9473684210526,11.292090108708,63.2631578947368,10.5961671295058,61.7931034482759,8.43023329448196,71.1379310344828,8.59422434885534
"18","Indica",0.5,"GC",2011,2010,0.281027047528762,0.117333769967874,0.352857677970383,0.105009367597592,2.5827648944824,0.425960150671391,2.4790744853231,0.375285875830724,0.478097068685595,0.0317395309867413,0.468792390538664,0.0258727671895614,23.7777777777778,14.1852589842288,26.4444444444444,11.6901740338145,35.4210526315789,11.5248041609876,41.0526315789474,11.6442379817084,46.7471264367816,8.49553023507938,53.8620689655172,8.29469524764527
"19","Indica",0.5,"GC",2012,2010,0.326073874412531,0.143049026887903,0.348166332690024,0.109766216391512,2.52227510655912,0.554121776048576,2.53484177528653,0.591620002650559,0.457779358363692,0.0343557339998986,0.458661829834963,0.039926804087869,28.8888888888889,16.3776103524812,26.8888888888889,11.3746523485064,34.8421052631579,12.7665914792004,36.2105263157895,11.8817127726118,48.8045977011494,7.28569392165645,51.5287356321839,6.39223849830175
"20","Indica",0.5,"PH",2011,2010,0.551361854234338,0.127783671431363,0.69602800423165,0.0764511384276919,7.50339902752593,2.3174636596673,5.44988189654105,1.43017071000967,0.0405712658054143,0.00615611413406786,0.0346747946778471,0.00452943741890023,31,17.2806968068783,44.1111111111111,17.8255935910868,49.9736842105263,11.8975004756528,62.8157894736842,10.9516226019167,62.2298850574713,7.53935190320213,73.2528735632184,8.16020378071622
"21","Indica",0.5,"PH",2012,2010,0.505780175057362,0.0979486289486113,0.678477833237606,0.0710894616378362,8.74473197550883,1.64935776570969,6.18276676636306,1.29893557274181,0.0440615435767432,0.00422605638614375,0.0370031610774959,0.00400537167118425,22.7777777777778,18.4221664937538,50,12.2461222993656,48.9473684210526,11.292090108708,63.2631578947368,10.5961671295058,61.7931034482759,8.43023329448196,71.1379310344828,8.59422434885534
"22","Indica",0.5,"PHR",2011,2010,0.431916867437261,0.125982924331587,0.509705113429145,0.117791341450033,4.86128330862335,1.46897134992949,4.2891512716345,1.19802713775632,0.0358538749477054,0.00535483628230222,0.033721573385515,0.00470269073309699,35.7268518518519,14.0607983258454,39.4814814814815,16.6343849777304,39.6787280701754,8.92343553104833,43.0120614035088,9.56422676932724,43.0979748221128,6.37404415027496,45.4804910469935,7.21011611786222
"23","Indica",0.5,"PHR",2012,2010,0.469752209582281,0.111408248752836,0.555490523953236,0.125036694660923,4.48967094141338,0.929123920121743,4.00500792491385,0.841391472331104,0.0346669003979992,0.00356107386057804,0.0327272319491178,0.00347804105591529,33.1111111111111,16.8608570074401,29.3333333333333,15.4566614139754,42.7368421052632,11.2876994647661,44.2894736842105,12.1206393974182,45.5632183908046,8.75712959665184,48.6206896551724,8.75392105966372
"24","Indica",0.5,"GC",2011,2010,0.283947782978868,0.0981756071659935,0.355539837515788,0.0910393108077647,2.53062189634293,0.364399343233249,2.42127736605262,0.328441367353603,0.473791717287807,0.0267966284741496,0.463689088495859,0.023286013385471,23.5601851851852,11.9517087491695,26.587962962963,10.4197430535962,35.6973684210526,10.3365682175468,42.5767543859649,10.6128347072369,47.8314176245211,7.23711486848822,53.5951208069435,7.01754247862179
"25","Indica",0.5,"PH",2011,2010,0.53479408883557,0.110170068656802,0.687518822154491,0.0649126888758717,8.06851147488621,2.11177816890724,5.8490052294323,1.3192904576336,0.0421402960713367,0.00562950446403996,0.0359540911409789,0.00417494221254171,28.1666666666667,15.3084592652069,41.4907407407407,15.687425673177,49.0449561403509,10.0443538711796,62.3980263157895,9.57972822043955,61.826726092736,6.93161282558155,72.5087184299007,7.516129766173
"26","Indica",0.5,"PHR",2012,2010,0.459208644393703,0.0997002861412632,0.546240057351684,0.108627880209725,4.56527088454781,0.865975856949353,4.06766326756289,0.767750774827943,0.0349824268152003,0.00331728939938183,0.0330168693042594,0.00314692513050115,34.9907407407407,14.9218792545762,30.8055555555556,14.2112213500648,42.9703947368421,9.62539591184622,43.172149122807,10.4517788482245,45.3414653217609,7.58459438150798,46.2233169129721,8.47809983679112
"27","Indica",0.5,"GC",2012,2010,0.312734582449265,0.122539890560072,0.332843972713807,0.0975865294910979,2.48942622290219,0.457468736293681,2.52676090048798,0.509148393055674,0.461297930123729,0.0299942857359651,0.464513128657855,0.0381916263451016,26.5509259259259,14.1840327849207,24.5925925925926,10.5500044219002,35.5197368421053,11.2453072593312,37.577850877193,10.2674523746058,50.0193916647119,6.9828363845283,52.5157557275784,5.92621160862182
"28","Indica",0.5,"PH",2012,2010,0.506510287986913,0.0819034706961232,0.68025497724571,0.0608216671189754,8.72273539103083,1.43112917368256,6.16386165087324,1.10616988665865,0.0440632524844978,0.00364095402008292,0.0370115197153702,0.00339781997642352,26.4351851851852,16.5774003668618,51.6666666666667,10.9373992727832,49.0899122807018,9.35361824985365,63.1129385964912,8.79085665600401,61.671592775041,7.10325417558572,70.8266479005395,7.35573982654525
"29","Indica",0.75,"GC",2011,2010,0.283947782978868,0.0981756071659935,0.355539837515788,0.0910393108077647,2.53062189634293,0.364399343233249,2.42127736605262,0.328441367353603,0.473791717287807,0.0267966284741496,0.463689088495859,0.023286013385471,23.5601851851852,11.9517087491695,26.587962962963,10.4197430535962,35.6973684210526,10.3365682175468,42.5767543859649,10.6128347072369,47.8314176245211,7.23711486848822,53.5951208069435,7.01754247862179
"30","Indica",0.75,"GC",2012,2010,0.312734582449265,0.122539890560072,0.332843972713807,0.0975865294910979,2.48942622290219,0.457468736293681,2.52676090048798,0.509148393055674,0.461297930123729,0.0299942857359651,0.464513128657855,0.0381916263451016,26.5509259259259,14.1840327849207,24.5925925925926,10.5500044219002,35.5197368421053,11.2453072593312,37.577850877193,10.2674523746058,50.0193916647119,6.9828363845283,52.5157557275784,5.92621160862182
